@relation 'pedidos-weka.filters.unsupervised.attribute.Remove-R1,4,11,13-weka.filters.unsupervised.attribute.Remove-R3-4-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.ChangeDateFormat-C2-FH-weka.filters.unsupervised.attribute.NumericToNominal-R2-weka.filters.unsupervised.attribute.MergeManyValues-C2-Linicio-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C2-Lpico-R1,2-weka.filters.unsupervised.attribute.MergeManyValues-C2-Lfinal-R1,2-weka.filters.unsupervised.attribute.RenameNominalValues-R3-Nbuscar:Buscar-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A4>0,1,0)-V-R4-weka.filters.unsupervised.attribute.NumericToNominal-R4-weka.filters.unsupervised.attribute.RenameNominalValues-R4-N0:nao,1:sim-weka.filters.unsupervised.attribute.RenameAttribute-findvalor_borda-replaceborda-R4-weka.filters.unsupervised.attribute.AddExpression-Eifelse(a5>0,1,0)-Nrefrigerante-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.RenameNominalValues-R8-N0:nao,1:sim-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Reorder-R1-4,7,5,6-weka.filters.unsupervised.attribute.ChangeDateFormat-C1-FE-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R6-precision6-weka.filters.unsupervised.attribute.RenameNominalValues-R6-N\'(inf-18]\':ate18,\'(18-26]\':18-26,\'(26-34]\':26-34,\'(34-42]\':34-42,\'(42-inf]\':maior42-weka.filters.unsupervised.attribute.RenameNominalValues-R6-N\'(-inf-18]\':ate18,\'(18-26]\':18-26,\'(26-34]\':26-34,\'(34-42]\':34-42,\'(42-inf)\':maior42-weka.filters.unsupervised.attribute.ChangeDateFormat-C1-FE-weka.filters.unsupervised.attribute.NumericToNominal-R1-weka.filters.unsupervised.attribute.ChangeDateFormat-Clast-Fm-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.MergeManyValues-C7-Lrapida-R1-16-weka.filters.unsupervised.attribute.MergeManyValues-C7-Lmedio-R1-20-weka.filters.unsupervised.attribute.MergeManyValues-C7-Ldemorada-R1-10'

@attribute data_pedido {Qui,Sex,Sáb,Dom,Seg,Ter,Qua}
@attribute hora_pedido {inicio,pico,final}
@attribute tipo_entrega {Buscar,Entrega}
@attribute borda {nao,sim}
@attribute refrigerante {nao,sim}
@attribute valor_total {ate18,18-26,26-34,34-42,maior42}
@attribute tempo {rapida,medio,demorada}

@data
Sex,inicio,Buscar,nao,nao,26-34,medio
Sex,inicio,Buscar,nao,nao,26-34,medio
Sex,inicio,Buscar,nao,nao,26-34,medio
Sex,inicio,Buscar,nao,nao,26-34,medio
Sex,inicio,Buscar,nao,nao,26-34,rapida
Sex,inicio,Entrega,nao,sim,26-34,medio
Sex,inicio,Buscar,sim,nao,26-34,rapida
Sex,pico,Entrega,nao,sim,34-42,medio
Sex,pico,Buscar,nao,nao,18-26,medio
Sex,pico,Entrega,nao,nao,18-26,demorada
Sex,pico,Buscar,nao,nao,18-26,medio
Sex,pico,Entrega,nao,nao,18-26,demorada
Sex,pico,Entrega,nao,nao,18-26,demorada
Sex,pico,Entrega,nao,nao,34-42,rapida
Sex,pico,Entrega,nao,nao,ate18,demorada
Sex,pico,Buscar,nao,nao,26-34,medio
Sex,pico,Entrega,nao,nao,18-26,demorada
Sex,pico,Buscar,nao,nao,26-34,medio
Sex,pico,Entrega,sim,nao,34-42,medio
Sex,pico,Buscar,nao,nao,26-34,medio
Sex,final,Entrega,nao,nao,18-26,medio
Sex,final,Buscar,nao,nao,26-34,medio
Sex,final,Buscar,nao,nao,ate18,rapida
Sáb,inicio,Entrega,nao,nao,26-34,rapida
Sáb,inicio,Entrega,nao,nao,18-26,medio
Sáb,inicio,Entrega,nao,nao,18-26,medio
Sáb,inicio,Buscar,sim,nao,26-34,medio
Sáb,inicio,Buscar,nao,nao,18-26,rapida
Sáb,inicio,Buscar,nao,sim,18-26,rapida
Sáb,inicio,Entrega,nao,nao,18-26,medio
Sáb,inicio,Entrega,nao,sim,26-34,medio
Sáb,pico,Entrega,nao,nao,26-34,medio
Sáb,pico,Buscar,nao,nao,26-34,medio
Sáb,pico,Entrega,nao,nao,18-26,medio
Sáb,pico,Entrega,nao,nao,18-26,rapida
Sáb,pico,Entrega,nao,nao,26-34,medio
Sáb,pico,Entrega,nao,nao,26-34,medio
Sáb,pico,Entrega,nao,sim,34-42,demorada
Sáb,pico,Entrega,nao,nao,18-26,medio
Sáb,pico,Entrega,nao,nao,26-34,medio
Sáb,pico,Entrega,nao,sim,34-42,demorada
Sáb,pico,Entrega,nao,nao,26-34,medio
Sáb,pico,Entrega,nao,nao,26-34,medio
Sáb,pico,Entrega,nao,nao,26-34,demorada
Sáb,pico,Entrega,sim,nao,34-42,demorada
Sáb,pico,Entrega,nao,nao,18-26,demorada
Sáb,pico,Entrega,nao,nao,26-34,medio
Sáb,pico,Entrega,nao,nao,26-34,medio
Sáb,final,Entrega,nao,nao,18-26,rapida
